hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,autobahn_length_in_cell_km_1939,autobahn_segments_hitting_cell_1939,x_min,x_max,y_min,y_max
K000000002,Diakonissenkrankenhaus Flensburg,9.426,54.7904,Knuthstr. 1,24939,Flensburg,Schleswig-Holstein,"Diakonissenkrankenhaus Flensburg, Knuthstr. 1, 24939 Flensburg",Schleswig-Holstein,4284063.680874565,3520661.6586438394,30000,0.0,0,4269063.680874565,4299063.680874565,3505661.6586438394,3535661.6586438394
K000000003,Malteser Krankenhaus St. Franziskus-Hospital,9.4216,54.793,Waldstr. 17,24939,Flensburg,Schleswig-Holstein,"Malteser Krankenhaus St. Franziskus-Hospital, Waldstraße 17, 24939 Flensburg",Schleswig-Holstein,4283782.918033585,3520953.2399278237,30000,0.0,0,4268782.918033585,4298782.918033585,3505953.2399278237,3535953.2399278237
K000000004,Städtisches Krankenhaus Kiel GmbH,10.1162,54.3224,Chemnitzstr. 33,24116,Kiel,Schleswig-Holstein,"Städtisches Krankenhaus Kiel GmbH, Chemnitzstr. 33, 24116 Kiel",Schleswig-Holstein,4328562.788163073,3468440.8663023724,30000,0.0,0,4313562.788163073,4343562.788163073,3453440.8663023724,3483440.8663023724
K000000005,Sankt Elisabeth Krankenhaus Kiel,10.1271,54.3168,Königsweg 8,24103,Kiel,Schleswig-Holstein,"Sankt Elisabeth Krankenhaus Kiel, Königsweg 8, 24103 Kiel",Schleswig-Holstein,4329273.319929826,3467818.8743014503,30000,0.0,0,4314273.319929826,4344273.319929826,3452818.8743014503,3482818.8743014503
K000000006,Park-Klinik GmbH,10.1256,54.3267,Goethestr. 11,24116,Kiel,Schleswig-Holstein,"Park-Klinik GmbH, Goethestrasse 11, 24116 Kiel",Schleswig-Holstein,4329173.733636578,3468920.406320483,30000,0.0,0,4314173.733636578,4344173.733636578,3453920.406320483,3483920.406320483
K000000007,Lubinus Clinicum,10.1169,54.3537,Steenbeker Weg 25,24106,Kiel,Schleswig-Holstein,"Lubinus Clinicum, Steenbeker Weg 25, 24106 Kiel",Schleswig-Holstein,4328602.617124513,3471924.0993981217,30000,0.0,0,4313602.617124513,4343602.617124513,3456924.0993981217,3486924.0993981217
K000000008,Klinik Flechsig GmbH,10.1162,54.3224,Chemnitzstr. 33,24116,Kiel,Schleswig-Holstein,"Klinik Flechsig GmbH, Chemnitzstraße 33, 24116 Kiel",Schleswig-Holstein,4328562.788163073,3468440.8663023724,30000,0.0,0,4313562.788163073,4343562.788163073,3453440.8663023724,3483440.8663023724
K000000009,Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,10.6851,53.8623,Parade 3,23552,Lübeck,Schleswig-Holstein,"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH, Parade 3, 23552 Lübeck",Schleswig-Holstein,4366080.861902422,3417446.3719349066,30000,26.90091364502866,3,4351080.861902422,4381080.861902422,3402446.3719349066,3432446.3719349066
K000000010,DRK-Fachklinik Hahnknüll gGmbH,9.9468,54.0984,Hahnknüll 58,24537,Neumünster,Schleswig-Holstein,"DRK-Fachklinik Hahnknüll gGmbH, Hahnknüll 58, 24537 Neumünster",Schleswig-Holstein,4317518.879449323,3443508.560190071,30000,0.0,0,4302518.879449323,4332518.879449323,3428508.560190071,3458508.560190071
K000000012,Johanniter-Krankenhaus Geesthacht GmbH,10.3854,53.4316,Am Runden Berge 3,21502,Geesthacht,Schleswig-Holstein,"Johanniter-Krankenhaus Geesthacht GmbH, Am Runden Berge 3, 21502 Geesthacht",Schleswig-Holstein,4346618.478579923,3369371.4793781755,30000,1.9879240449604332,2,4331618.478579923,4361618.478579923,3354371.4793781755,3384371.4793781755
K000000013,Johanniter Tagesklinik Schwarzenbek,10.4787,53.5058,Körnerplatz 6,21493,Schwarzenbek,Schleswig-Holstein,"Johanniter Tagesklinik Schwarzenbek, Körnerplatz 6, 21493 Schwarzenbek",Schleswig-Holstein,4352765.125847484,3377665.4490056788,30000,1.566664442287063,1,4337765.125847484,4367765.125847484,3362665.4490056788,3392665.4490056788
K000000014,Johanniter Tagesklnik Mölln,10.6864,53.6262,Wasserkrüger Weg 7,23879,Mölln,Schleswig-Holstein,"Johanniter Tagesklnik Mölln, Wasserkrüger Weg 7, 23879 Mölln",Schleswig-Holstein,4366418.669865862,3391174.1379039227,30000,0.0,0,4351418.669865862,4381418.669865862,3376174.1379039227,3406174.1379039227
K000000015,DRK-Krankenhaus Mölln-Ratzeburg gGmbH,10.7798,53.6893,Röpersberg 2,23909,Ratzeburg,Schleswig-Holstein,"DRK-Krankenhaus Mölln-Ratzeburg gGmbH, Röpersberg 2, 23909 Ratzeburg",Schleswig-Holstein,4372522.103034477,3398258.273351076,30000,0.0,0,4357522.103034477,4387522.103034477,3383258.273351076,3413258.273351076
K000000016,"Klinikum Nordfriesland gGmbH, Klinik Husum",9.0507,54.4824,Erichsenweg 16,25813,Husum,Schleswig-Holstein,"Klinikum Nordfriesland gGmbH, Klinik Husum, Erichsenweg 16, 25813 Husum",Schleswig-Holstein,4259455.570677312,3486644.221835525,30000,0.0,0,4244455.570677312,4274455.570677312,3471644.221835525,3501644.221835525
