hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,rail_length_in_cell_km_1885,rail_segments_hitting_cell_1885,x_min,x_max,y_min,y_max
K000000002,Diakonissenkrankenhaus Flensburg,9.426,54.7904,Knuthstr. 1,24939,Flensburg,Schleswig-Holstein,"Diakonissenkrankenhaus Flensburg, Knuthstr. 1, 24939 Flensburg",Schleswig-Holstein,4284063.680874565,3520661.6586438394,10000,34.53746505955813,10,4279063.680874565,4289063.680874565,3515661.6586438394,3525661.6586438394
K000000003,Malteser Krankenhaus St. Franziskus-Hospital,9.4216,54.793,Waldstr. 17,24939,Flensburg,Schleswig-Holstein,"Malteser Krankenhaus St. Franziskus-Hospital, Waldstraße 17, 24939 Flensburg",Schleswig-Holstein,4283782.918033585,3520953.2399278237,10000,33.64212129999944,10,4278782.918033585,4288782.918033585,3515953.2399278237,3525953.2399278237
K000000004,Städtisches Krankenhaus Kiel GmbH,10.1162,54.3224,Chemnitzstr. 33,24116,Kiel,Schleswig-Holstein,"Städtisches Krankenhaus Kiel GmbH, Chemnitzstr. 33, 24116 Kiel",Schleswig-Holstein,4328562.788163073,3468440.8663023724,10000,31.372415585440287,8,4323562.788163073,4333562.788163073,3463440.8663023724,3473440.8663023724
K000000005,Sankt Elisabeth Krankenhaus Kiel,10.1271,54.3168,Königsweg 8,24103,Kiel,Schleswig-Holstein,"Sankt Elisabeth Krankenhaus Kiel, Königsweg 8, 24103 Kiel",Schleswig-Holstein,4329273.319929826,3467818.8743014503,10000,32.237875752176656,8,4324273.319929826,4334273.319929826,3462818.8743014503,3472818.8743014503
K000000006,Park-Klinik GmbH,10.1256,54.3267,Goethestr. 11,24116,Kiel,Schleswig-Holstein,"Park-Klinik GmbH, Goethestrasse 11, 24116 Kiel",Schleswig-Holstein,4329173.733636578,3468920.406320483,10000,32.71766817336886,8,4324173.733636578,4334173.733636578,3463920.406320483,3473920.406320483
K000000007,Lubinus Clinicum,10.1169,54.3537,Steenbeker Weg 25,24106,Kiel,Schleswig-Holstein,"Lubinus Clinicum, Steenbeker Weg 25, 24106 Kiel",Schleswig-Holstein,4328602.617124513,3471924.0993981217,10000,17.719275575899463,6,4323602.617124513,4333602.617124513,3466924.0993981217,3476924.0993981217
K000000008,Klinik Flechsig GmbH,10.1162,54.3224,Chemnitzstr. 33,24116,Kiel,Schleswig-Holstein,"Klinik Flechsig GmbH, Chemnitzstraße 33, 24116 Kiel",Schleswig-Holstein,4328562.788163073,3468440.8663023724,10000,31.372415585440287,8,4323562.788163073,4333562.788163073,3463440.8663023724,3473440.8663023724
K000000009,Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,10.6851,53.8623,Parade 3,23552,Lübeck,Schleswig-Holstein,"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH, Parade 3, 23552 Lübeck",Schleswig-Holstein,4366080.861902422,3417446.3719349066,10000,33.302536134535295,10,4361080.861902422,4371080.861902422,3412446.3719349066,3422446.3719349066
K000000010,DRK-Fachklinik Hahnknüll gGmbH,9.9468,54.0984,Hahnknüll 58,24537,Neumünster,Schleswig-Holstein,"DRK-Fachklinik Hahnknüll gGmbH, Hahnknüll 58, 24537 Neumünster",Schleswig-Holstein,4317518.879449323,3443508.560190071,10000,35.66749172040583,5,4312518.879449323,4322518.879449323,3438508.560190071,3448508.560190071
K000000012,Johanniter-Krankenhaus Geesthacht GmbH,10.3854,53.4316,Am Runden Berge 3,21502,Geesthacht,Schleswig-Holstein,"Johanniter-Krankenhaus Geesthacht GmbH, Am Runden Berge 3, 21502 Geesthacht",Schleswig-Holstein,4346618.478579923,3369371.4793781755,10000,9.538066925942369,4,4341618.478579923,4351618.478579923,3364371.4793781755,3374371.4793781755
K000000013,Johanniter Tagesklinik Schwarzenbek,10.4787,53.5058,Körnerplatz 6,21493,Schwarzenbek,Schleswig-Holstein,"Johanniter Tagesklinik Schwarzenbek, Körnerplatz 6, 21493 Schwarzenbek",Schleswig-Holstein,4352765.125847484,3377665.4490056788,10000,16.377646588413583,2,4347765.125847484,4357765.125847484,3372665.4490056788,3382665.4490056788
K000000014,Johanniter Tagesklnik Mölln,10.6864,53.6262,Wasserkrüger Weg 7,23879,Mölln,Schleswig-Holstein,"Johanniter Tagesklnik Mölln, Wasserkrüger Weg 7, 23879 Mölln",Schleswig-Holstein,4366418.669865862,3391174.1379039227,10000,20.205801551240295,3,4361418.669865862,4371418.669865862,3386174.1379039227,3396174.1379039227
K000000015,DRK-Krankenhaus Mölln-Ratzeburg gGmbH,10.7798,53.6893,Röpersberg 2,23909,Ratzeburg,Schleswig-Holstein,"DRK-Krankenhaus Mölln-Ratzeburg gGmbH, Röpersberg 2, 23909 Ratzeburg",Schleswig-Holstein,4372522.103034477,3398258.273351076,10000,22.62620443866093,4,4367522.103034477,4377522.103034477,3393258.273351076,3403258.273351076
K000000016,"Klinikum Nordfriesland gGmbH, Klinik Husum",9.0507,54.4824,Erichsenweg 16,25813,Husum,Schleswig-Holstein,"Klinikum Nordfriesland gGmbH, Klinik Husum, Erichsenweg 16, 25813 Husum",Schleswig-Holstein,4259455.570677312,3486644.221835525,10000,26.830651730690114,6,4254455.570677312,4264455.570677312,3481644.221835525,3491644.221835525
K000000017,"Klinikum Nordfriesland gGmbH, Klinik Niebüll",8.8448,54.7928,Gather Landstr. 75,25899,Niebüll,Schleswig-Holstein,"Klinikum Nordfriesland gGmbH, Klinik Niebüll, Gather Landstraße 75, 25899 Niebüll",Schleswig-Holstein,4246671.187045708,3521376.535804889,10000,28.26123071485387,5,4241671.187045708,4251671.187045708,3516376.535804889,3526376.535804889
K000000019,"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum",8.5642,54.6851,Rebbelstieg 24,25938,Wyk,Schleswig-Holstein,"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum, Rebbelstieg 24, 25938 Wyk",Schleswig-Holstein,4228375.971490202,3509717.5825659707,10000,0.0,0,4223375.971490202,4233375.971490202,3504717.5825659707,3514717.5825659707
K000000020,DIAKO Nordfriesland gGmbH (Fachklinik für Psychiatrie und Psychosomatik - stat. Angebote),8.985,54.6152,Gammeltoft 8-15,25821,Breklum,Schleswig-Holstein,"DIAKO Nordfriesland gGmbH (Fachklinik für Psychiatrie und Psychosomatik - stat. Angebote), Gammeltoft 8-15, 25821 Breklum",Schleswig-Holstein,4255407.988962222,3501479.108866842,10000,16.45228417471089,3,4250407.988962222,4260407.988962222,3496479.108866842,3506479.108866842
K000000022,DIAKO Nordfriesland gGmbH (Tagesklinik Husum),9.0506,54.4863,Theodor-Schäfer-Str. 1b,25813,Husum,Schleswig-Holstein,"DIAKO Nordfriesland gGmbH (Tagesklinik Husum), Theodor-Schäfer-Str. 1b, 25813 Husum",Schleswig-Holstein,4259454.894726628,3487078.2763443915,10000,27.226604288892776,6,4254454.894726628,4264454.894726628,3482078.2763443915,3492078.2763443915
K000000023,DIAKO Nordfriesland gGmbH (Tagesklinik Niebüll),8.8335,54.7867,Bahnhofstr. 24a,25899,Niebüll,Schleswig-Holstein,"DIAKO Nordfriesland gGmbH (Tagesklinik Niebüll), Bahnhofstraße 24a, 25899 Niebüll",Schleswig-Holstein,4245932.993349411,3520709.490628554,10000,30.273639126768916,5,4240932.993349411,4250932.993349411,3515709.490628554,3525709.490628554
K000000024,Asklepios Nordseeklinik Westerland/Sylt,8.3145,54.9256,Norderstr. 81,25980,Sylt/OT Westerland,Schleswig-Holstein,"Asklepios Nordseeklinik Westerland/Sylt, Norderstr. 81, 25980 Sylt/OT Westerland",Schleswig-Holstein,4212908.597348547,3536822.2175096935,10000,18.838893755091146,7,4207908.597348547,4217908.597348547,3531822.2175096935,3541822.2175096935
